Year	Domain	Name	Nationality	Gender
1986	Chemistry	 Dudley R. Herschbach 	USA	Male
1986	Chemistry	 Yuan T. Lee 	USA	Male
1986	Chemistry	 John C. Polanyi 	USA	Male
1986	Economics	 James M. Buchanan Jr. 	USA	Male
1986	Literature	 Wole Soyinka 	Nigeria	Male
1986	Medicine	 Stanley Cohen 	USA	Male
1986	Medicine	 Rita Levi-Montalcini 	Italy, USA	Female
1986	Peace	 Elie Wiesel 	USA	Male
1986	Physics	 Gerd Binnig 	Germany	Male
1986	Physics	 Heinrich Rohrer 	Switzerland	Male
1986	Physics	 Ernst Ruska 	Germany	Male
1985	Chemistry	 Herbert A. Hauptman 	USA	Male
1985	Chemistry	 Jerome Karle 	USA	Male
1985	Economics	 Franco Modigliani 	USA	Male
1985	Literature	 Claude Simon 	France	Male
1985	Medicine	 Michael S. Brown 	USA	Male
1985	Medicine	 Joseph L. Goldstein 	USA	Male
1985	Peace	 International Physicians for the Prevention of Nuclear War 	USA	Organization
1985	Physics	 Klaus von Klitzing 	Germany	Male
1984	Chemistry	 Bruce Merrifield 	USA	Male
1984	Economics	 Richard Stone 	UK	Male
1984	Literature	 Jaroslav Seifert 	Czechoslovakia	Male
1984	Medicine	 Niels K. Jerne 	Denmark	Male
1984	Medicine	 Georges J.F. Kohler 	Germany	Male
1984	Medicine	 Cesar Milstein 	Argentina, UK	Male
1984	Peace	 Desmond Tutu 	South Africa	Male
1984	Physics	 Carlo Rubbia 	Italy	Male
1984	Physics	 Simon van der Meer 	Netherlands	Male
1983	Chemistry	 Henry Taube 	USA	Male
1983	Economics	 Gerard Debreu 	USA	Male
1983	Literature	 William Golding 	UK	Male
1983	Medicine	 Barbara McClintock 	USA	Female
1983	Peace	 Lech Walesa 	Poland	Male
1983	Physics	 Subramanyan Chandrasekhar 	USA	Male
1983	Physics	 William A. Fowler 	USA	Male
1982	Chemistry	 Aaron Klug 	UK	Male
1982	Economics	 George J. Stigler 	USA	Male
1982	Literature	 Gabriel Garcia Marquez 	Colombia	Male
1982	Medicine	 Sune K. Bergstrom 	Sweden	Male
1982	Medicine	 Bengt I. Samuelsson 	Sweden	Male
1982	Medicine	 John R. Vane 	UK	Male
1982	Peace	 Alfonso Garcia Robles 	Mexico	Male
1982	Peace	 Alva Myrdal 	Sweden	Female
1982	Physics	 Kenneth G. Wilson 	USA	Male
1981	Chemistry	 Kenichi Fukui 	Japan	Male
1981	Chemistry	 Roald Hoffmann 	USA	Male
1981	Economics	 James Tobin 	USA	Male
1981	Literature	 Elias Canetti 	UK	Male
1981	Medicine	 David H. Hubel 	USA	Male
1981	Medicine	 Roger W. Sperry 	USA	Male
1981	Medicine	 Torsten N. Wiesel 	Sweden	Male
1981	Peace	 Office of the United Nations High Commissioner for Refugees 	Switzerland	Organization
1981	Physics	 Nicolaas Bloembergen 	USA	Male
1981	Physics	 Arthur L. Schawlow 	USA	Male
1981	Physics	 Kai M. Siegbahn 	Sweden	Male
1980	Chemistry	 Paul Berg 	USA	Male
